1,216,2007,Chrystler,300,96
2,37,2016,Honda,Civic 1.5t,92
3,228,2010,Nissan,370,92
4,175,2006,Honda,Civic,92
5,126,2010,Volkswagen,Eos,92
6,63,2010,Honda,Civic,86
7,127,2013,Acura,Tsx,86
8,161,2012,Nissan,370z,84
9,153,2011,Nissan,370,84
10,180,2011,Volkswagen,Gti,82
11,57,2015,Scion,Frs,80
12,86,1996,Volkswagen,Jetta,8
13,74,2015,Honda,Accord,8
14,69,2018,Subaru,WRX,8
15,42,2001,Dodge,Viper,8
16,28,1995,Bmw,318xi,8
17,185,2013,Volkswagen,Jett,8
18,184,2010,Volkswagen,Cc,8
19,25,2012,Mercedes,C250,78
20,106,2007,Acura,Tl type s,78
21,36,2016,Subaru,WRX,74
22,39,2011,Honda,Civic,72
23,178,2009,Honda,Oddesy,72
24,103,2010,Acura,Tsx,72
25,84,2012,Mercedes,Cl63amg,70
26,33,2015,Subaru,Sti,68
27,30,2012,Hyundai,Celoster,66
28,123,2006,Lexus,Sc430,66
29,1051,2006,Acura,Tsx,66
30,41,2012,Acura,Tsx,64
31,218,2010,Chevy,Camaro,64
32,158,2007,Nissan,350z,64
33,48,2015,Acura,TLX,62
34,38,2017,Hyundai,Elantra sport,62
35,23,1998,Subaru,Legacy,62
36,21,2009,Subaru,WRX,62
37,12,1990,Nissan,240,62
38,53,2013,Subaru,WRX,60
39,35,2016,Honda,Civic,60
40,75,2012,Subaru,WRX,6
41,71,2008,Acura,TL,6
42,64,2004,Subaru,Forester,6
43,212,2001,Lexus,Is300,6
44,187,2007,Subaru,Legacy,6
45,134,2012,Subaru,WRX,6
46,142,1993,Toyota,Supra,58
47,110,2011,Toyota,Camry,58
48,156,2014,Volkswagen,Gli,56
49,115,2001,Honda,Crv,56
50,6,2016,Volkswagen,Golf r,54
51,43,2011,Toyota,4 Runner,54
52,37,2015,Subaru,Sti,54
53,137,2017,Ford,Focus rs,54
54,225,2016,Acura,TLX,52
55,134,2013,Subaru,WRX,52
56,5,2003,Acura,Rsx,50
57,51,2015,Subaru,WRX,50
58,189,2012,Toyota,Fj cruiser,50
59,170,2014,Chevy,Cruze,50
60,88,2008,Honda,Accord,48
61,52,2007,Mazda,Speed 3,48
62,211,2004,Acura,Tsx,48
63,104,2014,Civic coupe,Si,48
64,232,2018,Subaru,WRX,46
65,Showcar,2014,Nissan,Gtr,44
66,9,1996,Nissan,240,44
67,8,1991,Nissan,Skyline,44
68,140,1995,Mitsu,Evo8,44
69,122,2011,Infinity,M37s,44
70,121,2012,Acura,TL,44
71,118,1993,Honda,Civic,44
72,85,2017,Honda,Accord,42
73,56,2009,Volkswagen,Jetta,42
74,49,1997,Acura,Integra,42
75,45,2006,Acura,TL,42
76,153,2017,Subaru,Brz,42
77,44,2018,Honda,Civic si,40
78,222,2015,Lexus,Is250,40
79,207,1993,Honda,Civic eG,40
80,19,2001,Mitsub,Evo7,40
81,176,2014,Mitsu,Lancer,40
82,72,2016,Civic,Si,4
83,66,2010,Volkswagen,Gti,4
84,174,2006,Acura,Rsx,4
85,99,2014,Civic,Si,38
86,20,2009,Infinity,G37,38
87,18,2015,Audi,S3,38
88,179,2004,Volkswagen,R32,38
89,145,1990,Volkswagen,Gti,38
90,78,2015,Mazda,6,36
91,200,2016,Subaru,WRX,36
92,162,2014,Nissan,370z,36
93,17,2016,Mercedes,C43,34
94,10,2001,Nissan,S15,34
95,46,2008,Volkswagen,R32,32
96,4341,1992,Nissan,Rps13,32
97,24,2013,Subaru,BRZ,32
98,92,2017,Hyundai,Elantra sport,30
99,7,2014,Nissan,Sentra,30
100,181,2003,Volkswagen,Gti,30
101,120,2014,Ford,Focus st,30
102,11,1991,Nissan,Skyline,30
103,59,2012,Volkswagen,Golf,28
104,238,1982,Volkswagen,Rabbit,28
105,144,2016,Volkswagen,Gti,28
106,116,2008,Audi,A4,28
107,98,2012,Benz,C63,26
108,242,2014,Nissan,Maxima,26
109,219,2016,Ford,Focus rs,26
110,187,2007,Subaru,Legacy,26
111,14,1990,Nissan,Skyline,26
112,141,1993,Mazda,Miata,26
113,114,2010,Volkswagen,Gti,26
114,81,2016,Volkswagen,GTI,24
115,241,2007,Toyota,Camry,24
116,22,2007,Honda,Civic,24
117,2,2016,Bmw,M2,24
118,130,2016,Honda,Civic si,24
119,93,2005,Acura,TL,22
120,172,2014,Bmw,4,22
121,163,2013,Mitsu,Ralliart,22
122,150,2006,Nissan,350z,22
123,100,2006,Volvo,S60r,22
124,235,2013,Scion,Frs,20
125,230,2004,Acura,Tsx,20
126,182,2012,Volkswagen,Cc,20
127,167,2016,Ford,Mystang,20
128,197,2010,Audi,A4,2
129,79,1993,Mazda,Miata,18
130,34,2010,Honda,Fit,18
131,226,2008,Honda,Accord,18
132,Vip,2008,Volkswagen,Gli,16
133,89,2014,Honda,Civic si,16
134,183,2005,Volkswagen,Jetta,16
135,67,2015,Subaru,Sti,14
136,59,2007,Honda,Civic,14
137,220,2004,Audi,A4,14
138,193,2014,Nissan,Ssntra,14
139,186,2012,Volkswagen,Gli,14
140,159,2013,Hyundai,Gen coupe,14
141,108,2013,Audi,S4,14
142,128,2010,Infiniti,G37,128
143,124,2015,Jeep,Wrangler,124
144,15,2014,Audi,S4,120
145,95,2004,Infiniti,G35,12
146,76,2005,Subaru,Sti,12
147,177,2005,Volkswagen,Jetta gli,12
148,113,2012,Acura,Tsx sportwagon,116
149,83,2014,Honda,Accord,112
150,112,2008,Acura,TL,110
151,65,2009,Honda,Fit,106
152,91,2010,Mitsu,Lancer,102
153,31,2007,Honda,Fit,102
154,114,2015,Acura,TLX,102
155,96,2017,Volkswagen,Gti,10
156,94,2004,Volkswagen,Gti,10
157,68,2013,Nissan,Altima,10
158,243,2008,Toyota,Matrix,10
159,237,1987,Volkswagen,Jetta,10
160,190,1995,Lexus,Sc300,10
161,16,2008,Nissan,350z,10
162,138,1990,Mazda,Miata,10
163,111,2007,Bmw,328i,10
164,102,2015,Honda,Accord,10
165,Car_ID,Year,Make,Model,0
166,70,2014,Honda,Civic,0
167,101,2014,Honda,Civic,0
168,0,2015,Chevy,Camaro,0
